order_id,order_date,order_year,order_month,customer_id,customer_name,segment,product_id,product_name,category_name,sub_category_name,country,state,city,region_name,sales
CA-2017-152156,2017-11-08,2017,11,CG-12520,Claire Gute,Consumer,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,United States,Kentucky,Henderson,South,261.96
CA-2017-152156,2017-11-08,2017,11,CG-12520,Claire Gute,Consumer,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,United States,Kentucky,Henderson,South,731.94
CA-2017-138688,2017-06-12,2017,6,DV-13045,Darrin Van Huff,Corporate,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,United States,California,Los Angeles,West,14.62
US-2016-108966,2016-10-11,2016,10,SO-20335,Sean O'Donnell,Consumer,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,United States,Florida,Fort Lauderdale,South,957.5775
US-2016-108966,2016-10-11,2016,10,SO-20335,Sean O'Donnell,Consumer,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,United States,Florida,Fort Lauderdale,South,22.368
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,United States,California,Los Angeles,West,48.86
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,OFF-AR-10002833,Newell 322,Office Supplies,Art,United States,California,Los Angeles,West,7.28
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,United States,California,Los Angeles,West,907.152
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,United States,California,Los Angeles,West,18.504
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,United States,California,Los Angeles,West,114.9
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,United States,California,Los Angeles,West,1706.184
CA-2015-115812,2015-06-09,2015,6,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,United States,California,Los Angeles,West,911.424
CA-2018-114412,2018-04-15,2018,4,AA-10480,Andrew Allen,Consumer,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,United States,North Carolina,Concord,South,15.552
CA-2017-161389,2017-12-05,2017,12,IM-15070,Irene Maddox,Consumer,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,United States,Washington,Seattle,West,407.976
US-2016-118983,2016-11-22,2016,11,HP-14815,Harold Pawlan,Home Office,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,United States,Texas,Fort Worth,Central,68.81
US-2016-118983,2016-11-22,2016,11,HP-14815,Harold Pawlan,Home Office,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,United States,Texas,Fort Worth,Central,2.544
CA-2015-105893,2015-11-11,2015,11,PK-19075,Pete Kriz,Consumer,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,United States,Wisconsin,Madison,Central,665.88
CA-2015-167164,2015-05-13,2015,5,AG-10270,Alejandro Grove,Consumer,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,United States,Utah,West Jordan,West,55.5
CA-2015-143336,2015-08-27,2015,8,ZD-21925,Zuschuss Donatelli,Consumer,OFF-AR-10003056,Newell 341,Office Supplies,Art,United States,California,San Francisco,West,8.56
CA-2015-143336,2015-08-27,2015,8,ZD-21925,Zuschuss Donatelli,Consumer,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,United States,California,San Francisco,West,213.48
CA-2015-143336,2015-08-27,2015,8,ZD-21925,Zuschuss Donatelli,Consumer,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,United States,California,San Francisco,West,22.72
CA-2017-137330,2017-12-09,2017,12,KB-16585,Ken Black,Corporate,OFF-AR-10000246,Newell 318,Office Supplies,Art,United States,Nebraska,Fremont,Central,19.46
CA-2017-137330,2017-12-09,2017,12,KB-16585,Ken Black,Corporate,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,United States,Nebraska,Fremont,Central,60.34
US-2018-156909,2018-07-16,2018,7,SF-20065,Sandra Flanagan,Consumer,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,United States,Pennsylvania,Philadelphia,East,71.372
CA-2016-106320,2016-09-25,2016,9,EB-13870,Emily Burns,Consumer,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,United States,Utah,Orem,West,1044.63
CA-2017-121755,2017-01-16,2017,1,EH-13945,Eric Hoffmann,Consumer,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,United States,California,Los Angeles,West,11.648
CA-2017-121755,2017-01-16,2017,1,EH-13945,Eric Hoffmann,Consumer,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,United States,California,Los Angeles,West,90.57
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,United States,Pennsylvania,Philadelphia,East,3083.43
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,United States,Pennsylvania,Philadelphia,East,9.618
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,United States,Pennsylvania,Philadelphia,East,124.2
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,United States,Pennsylvania,Philadelphia,East,3.264
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,United States,Pennsylvania,Philadelphia,East,86.304
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,United States,Pennsylvania,Philadelphia,East,6.858
US-2016-150630,2016-09-17,2016,9,TB-21520,Tracy Blumstein,Consumer,OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,United States,Pennsylvania,Philadelphia,East,15.76
CA-2018-107727,2018-10-19,2018,10,MA-17560,Matt Abelman,Home Office,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,United States,Texas,Houston,Central,29.472
CA-2017-117590,2017-12-08,2017,12,GH-14485,Gene Hale,Corporate,TEC-PH-10004977,GE 30524EE4,Technology,Phones,United States,Texas,Richardson,Central,1097.544
CA-2017-117590,2017-12-08,2017,12,GH-14485,Gene Hale,Corporate,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,United States,Texas,Richardson,Central,190.92
